ds,eNodeB Name,Integrity,RRC Setup Success Ratio_LTE(%),RRC Setup Success Ratio_NOM_LTE(number),RRC Setup Success Ratio_DENOM_LTE(number),E-RAB Setup Success Ratio_LTE(%),E-RAB Setup Success Ratio_NOM_LTE(number),E-RAB Setup Success Ratio (Denom),E-RAB Drop Ratio_LTE(%),E-RAB Drop Ratio_NOM_LTE(number),E-RAB Drop Ratio_DENOM_LTE(number),Intra-eNB Handover Success Ratio_LTE(%),Intra-eNB Handover Success Ratio_NOM_LTE(number),Intra-eNB Handover Success Ratio_DENOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_LTE(%),Inter-eNB HO Success Ratio (X2-Based)_new_NOM_LTE(number),Inter-eNB HO Success Ratio (X2-Based)_new_DENOM_LTE(number),Inter-RAT HO Success Ratio %,Inter-RAT HO Success Ratio (Nom),Inter-RAT HO Success Ratio (Denom)(number),IRAT Redir Success Rate_LTE(%),IRAT Redir Success Rate_NOM_LTE(number),IRAT Redir Success Rate_DENOM_LTE(number),CSFB Prepare Success Rate_LTE(number),CSFB Prepare Success Rate_NOM_LTE(number),CSFB Prepare Success Rate_DENOM_LTE(number),CSFB execution ratio_LTE(%),CSFB execution ratio_NOM_LTE(number),CSFB execution ratio_DENOM_LTE(number),CSFB SR v7.0_LTE(%),CSFB SR v7.0_NOM_LTE(number),CSFB SR v7.0_DENOM_LTE(number),S1 Signaling Success Ratio_LTE(%),S1 Signaling Success Ratio_NOM_LTE(number),S1 Signaling Success Ratio_DENOM_LTE(number),Packet Delay Budget (UE to PGW),Packet Delay Budget (UE to PGW) (Nom)(number),Packet Delay Budget (UE to PGW) (Denom)(number),Packet Delay Budget QCI1_QCI5_LTE(ms),Packet Delay Budget QCI1_QCI5 (Nom)(number),Packet Delay Budget QCI1_QCI5 (Denom)(number),Packet Loss-DL_LTE(%),Packet Loss-DL (Nom)(number),Packet Loss-DL (Denom)(number),MS_L2W CSFB Prepare SR(%),MS_L2W CSFB Prepare SR_NOM(number),MS_L2W CSFB Prepare SR_DENOM(number),MS_L2W CSFB Execution SR(%),MS_L2W CSFB Execution SR_NOM(number),MS_L2W CSFB Execution SR_DENOM(number),Maximum eNodeB RB utilization DL_LTE(%),Average eNodeB RB utilization UL_LTE(%),dl_avg,ul_avg,dl_peak,ul_peak,MS_RTWP(dBm),RTWP_LTE(dB),RTWP(dBm0),Duration of Cell Unavailability_LTE(s),L.Cell.Avail.Dur(s),MS_Radio Network Availability Rate (LTE)(%),Volume Traffic DL (MB)(MB),MS_Volume Traffic UL (MB)(MB),Total Traffic_LTE(MB),MS_PI_L.Traffic.User.Max(MAX)(number),MS_Number of CSFB-based blind redirections from E-UTRAN to GERAN(number),MS_Number of CSFB-based blind redirections from E-UTRAN to WCDMA(number),MS_CSFB to UMTS Times(times)(times),MS_CSFB to GSM Times(times)(times),MS_L.RRCRedirection.E2W.CSFB(number),MS_PI_L.Traffic.User.Avg(SUM)(number),MS_PI_L.Traffic.User.Max(SUM)(number),MS_L.Traffic.User.DLData.Avg(number),MS_L.traffic.User.ULData.Avg(number),MS_L.Traffic.ActiveUser.Avg(number),MS_L.Traffic.ActiveUser.Max(number),MS_RBLER-DL(%),MS_PI_L.Traffic.User.Avg(AVG)(number),Maximum eNodeB RB utilization DL (Nom)(number),Maximum eNodeB RB utilization DL (Denom)(number),Average eNodeB RB utilization UL (Nom)(number),Average eNodeB RB utilization UL (Denom)(number),Radio Network Availability Rate (LTE) (Nom)(number),Radio Network Availability Rate (LTE) (Denom)(number),MS_Average PDCP Layer Active Cell Throughput DL(number),MS_Average PDCP Layer Active Cell Throughput DL_NOM(number),MS_Average PDCP Layer Active Cell Throughput DL_DENOM(number),MS_Average PDCP Layer Active Cell Throughput UL(number),MS_Average PDCP Layer Active Cell Throughput UL_NOM(number),MS_Average PDCP Layer Active Cell Throughput UL_DENOM(number),MS_Duration of Cell Unavailability(s),MS_UL Packet Loss Rate(%),MS_UL Packet Loss Rate_NOM(number),MS_UL Packet Loss Rate_DENOM(number),MS_RBLER-DL_NOM(number),MS_RBLER-DL_DENOM(number),MS_Inter-RAT HO Success Ratio(%),MS_Inter-RAT HO Success Ratio_DENOM(number),MS_Inter-RAT HO Success Ratio_NOM(number)
2017-04-03 00:00:00,102248_warujaya_mbts,100%,100,2620.0,2620.0,99.9629,2695.0,2696.0,0.037,1.0,2702.0,100.0,32.0,32.0,96.2963,26.0,27.0,/0,0.0,0.0,100.0,118.0,118.0,100,11.0,11.0,100,11.0,11.0,100,11.0,11.0,99.9289,2810.0,2812.0,25.7026,24127562.0,938722.0,/0,0.0,938722.0,/0,0.0,939944.0,100.0,0.0,0.0,100.0,0.0,0.0,11.2606,13.6385,11.0681,1.1941,17.1879,1.6416,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,1096.7473,55.7258,1152.4732,17.0,0.0,0.0,11.0,0.0,11.0,17.1081,37.0,4.7847,5.3578,0.0,12.0,0.0588,5.7027,2.8151,25.0,3.4096,25.0,10800.0,10800.0,11612.8156,9200183472.0,792244.0,1195.4242,467462280.0,391043.0,0.0,0.0,1.0,746415.0,583.0,992306.0,100.0,0.0,0.0
2017-04-03 01:00:00,102248_warujaya_mbts,100%,100,2492.0,2492.0,100.0,2530.0,2530.0,0,0.0,2522.0,100.0,4.0,4.0,100.0,30.0,30.0,/0,0.0,0.0,100.0,129.0,129.0,100,1.0,1.0,100,1.0,1.0,100,1.0,1.0,99.9622,2642.0,2643.0,18.0204,24711247.0,1371294.0,/0,0.0,1371294.0,/0,0.0,1372811.0,100.0,0.0,0.0,100.0,0.0,0.0,12.9801,13.4397,13.4457,1.3242,15.3615,1.8248,-119.0,-119,-119,0.0,10800.0,100.0,1626.169,74.4323,1700.6013,16.0,0.0,0.0,1.0,0.0,1.0,16.2961,34.0,4.8933,5.4425,0.0,11.0,0.0369,5.432,3.245,25.0,3.3599,25.0,10800.0,10800.0,13582.225,13641294072.0,1004349.0,1317.1923,624383392.0,474026.0,0.0,0.0,23.0,1091404.0,448.0,1214388.0,100.0,0.0,0.0
2017-04-03 02:00:00,102248_warujaya_mbts,100%,99.9545,2199.0,2200.0,100.0,2223.0,2223.0,0,0.0,2229.0,,0.0,0.0,100.0,2.0,2.0,/0,0.0,0.0,100.0,40.0,40.0,100,2.0,2.0,100,2.0,2.0,100,2.0,2.0,100,2300.0,2300.0,18.0251,19473329.0,1080348.0,/0,0.0,1080348.0,/0,0.0,1081357.0,100.0,0.0,0.0,100.0,0.0,0.0,10.8984,13.7488,12.4772,1.3964,17.5136,1.5309,-119.0,-119,-119,0.0,10800.0,100.0,1196.62,75.0989,1271.7189,15.0,0.0,0.0,2.0,0.0,2.0,14.4267,30.0,4.6058,5.1386,0.0,10.0,0.0389,4.8089,2.7246,25.0,3.4372,25.0,10800.0,10800.0,12398.2722,10037975920.0,809627.0,1309.8703,629975568.0,480945.0,0.0,0.0,63.0,970754.0,397.0,1021212.0,100.0,0.0,0.0
2017-04-03 03:00:00,102248_warujaya_mbts,100%,100,2216.0,2216.0,100.0,2248.0,2248.0,0.0444,1.0,2250.0,100.0,4.0,4.0,100.0,2.0,2.0,/0,0.0,0.0,100.0,53.0,53.0,100,1.0,1.0,100,1.0,1.0,100,1.0,1.0,100,2319.0,2319.0,32.6487,52447696.0,1606423.0,/0,0.0,1606423.0,/0,2.0,1607845.0,100.0,0.0,0.0,100.0,0.0,0.0,17.106,14.4392,8.601,1.0752,17.2566,1.5177,-119.0,-119,-119,0.0,10800.0,100.0,1671.6516,75.4815,1747.1331,15.0,0.0,0.0,1.0,0.0,1.0,13.9533,33.0,4.7147,5.3006,0.0,10.0,0.0292,4.6511,4.2765,25.0,3.6098,25.0,10800.0,10800.0,9407.3111,14022829584.0,1490631.0,1005.078,633185088.0,629986.0,0.0,0.0,6.0,1137005.0,516.0,1769866.0,100.0,0.0,0.0
2017-04-03 04:00:00,102248_warujaya_mbts,100%,100,2236.0,2236.0,99.9555,2245.0,2246.0,0,0.0,2247.0,100.0,3.0,3.0,100.0,3.0,3.0,/0,0.0,0.0,100.0,26.0,26.0,100,1.0,1.0,100,1.0,1.0,100,1.0,1.0,100,2318.0,2318.0,36.7179,20194977.0,550003.0,/0,0.0,550003.0,/0,0.0,550537.0,100.0,0.0,0.0,100.0,0.0,0.0,7.6223,12.6776,12.3235,1.4465,17.27,1.528,-119.0,-119,-119,0.0,10800.0,100.0,644.2027,38.7404,682.9431,15.0,0.0,0.0,1.0,0.0,1.0,13.4247,30.0,3.9878,4.5311,0.0,10.0,0.0494,4.4749,1.9056,25.0,3.1694,25.0,10800.0,10800.0,12679.6769,5403964176.0,426191.0,1311.606,324977920.0,247771.0,0.0,0.0,1.0,514402.0,283.0,573368.0,100.0,0.0,0.0
2017-04-03 05:00:00,102248_warujaya_mbts,100%,100,2673.0,2673.0,99.9635,2740.0,2741.0,0,0.0,2731.0,100.0,9.0,9.0,100.0,18.0,18.0,/0,0.0,0.0,100.0,145.0,145.0,100,8.0,8.0,100,8.0,8.0,100,8.0,8.0,99.8962,2888.0,2891.0,25.5405,18685416.0,731599.0,/0,0.0,731599.0,/0,0.0,732238.0,100.0,0.0,0.0,100.0,0.0,0.0,8.8022,14.0807,13.4962,1.251,16.5092,1.5079,-119.0,-119,-119,0.0,10800.0,100.0,793.4613,66.6084,860.0697,17.0,0.0,0.0,8.0,0.0,8.0,16.8397,37.0,5.0947,5.7825,0.0,14.0,0.0413,5.6132,2.2006,25.0,3.5202,25.0,10800.0,10800.0,12156.9429,6656035648.0,547509.0,1210.6458,558751768.0,461532.0,0.0,0.0,6.0,687078.0,310.0,750012.0,100.0,0.0,0.0
2017-04-03 06:00:00,102248_warujaya_mbts,100%,99.9705,3384.0,3385.0,100.0,3532.0,3532.0,0.0282,1.0,3540.0,100.0,24.0,24.0,94.4444,34.0,36.0,/0,0.0,0.0,100.0,146.0,146.0,100,13.0,13.0,100,13.0,13.0,100,13.0,13.0,99.9165,3591.0,3594.0,10.7428,8747848.0,814295.0,/0,0.0,814295.0,/0,0.0,815214.0,100.0,0.0,0.0,100.0,0.0,0.0,8.7893,13.9556,12.8362,1.383,17.0864,3.7903,-119.0,-119,-119,0.0,10800.0,100.0,704.561,63.2971,767.8581,21.0,0.0,0.0,13.0,0.0,13.0,20.9856,45.0,5.735,6.2117,0.0,12.0,0.0555,6.9952,2.1973,25.0,3.4889,25.0,10800.0,10800.0,10243.4675,5910286120.0,576981.0,1269.059,530974304.0,418400.0,0.0,0.0,76.0,780813.0,456.0,821286.0,100.0,0.0,0.0
2017-04-03 07:00:00,102248_warujaya_mbts,100%,99.9703,3371.0,3372.0,100.0,3473.0,3473.0,0,0.0,3484.0,100.0,86.0,86.0,100.0,110.0,110.0,/0,0.0,0.0,100.0,245.0,245.0,100,6.0,6.0,100,6.0,6.0,100,6.0,6.0,99.9724,3627.0,3628.0,49.0931,44091126.0,898112.0,/0,0.0,898112.0,/0,1.0,899106.0,100.0,0.0,0.0,100.0,0.0,0.0,10.8235,15.1764,10.7858,1.1886,16.3345,2.5567,-119.0,-119,-119,0.0,10800.0,100.0,838.8037,69.4073,908.211,21.0,0.0,0.0,6.0,0.0,6.0,21.7386,44.0,6.5758,7.1639,0.0,13.0,0.0646,7.2462,2.7059,25.0,3.7941,25.0,10800.0,10800.0,9642.0942,7036395376.0,729758.0,1095.8591,582231032.0,531301.0,0.0,0.0,85.0,728627.0,664.0,1027832.0,100.0,0.0,0.0
2017-04-03 08:00:00,102248_warujaya_mbts,100%,99.9651,2866.0,2867.0,100.0,2986.0,2986.0,0.0336,1.0,2977.0,100.0,112.0,112.0,99.1803,121.0,122.0,/0,0.0,0.0,100.0,301.0,301.0,100,20.0,20.0,100,20.0,20.0,100,20.0,20.0,99.9692,3247.0,3248.0,20.4159,18365949.0,899590.0,/0,0.0,899590.0,/0,0.0,901000.0,100.0,0.0,0.0,100.0,0.0,0.0,11.0277,15.782,11.7228,2.2806,17.0489,2.7668,-119.0,-119,-119,0.0,10800.0,100.0,921.5571,182.1613,1103.7184,20.0,0.0,0.0,20.0,0.0,20.0,20.0286,37.0,6.5189,7.0317,0.0,12.0,0.0907,6.6762,2.7569,25.0,3.9455,25.0,10800.0,10800.0,10053.6997,7730581264.0,768929.0,2141.2895,1528079864.0,713626.0,0.0,0.0,49.0,842741.0,954.0,1051483.0,100.0,0.0,0.0
2017-04-03 09:00:00,102248_warujaya_mbts,100%,99.9603,2516.0,2517.0,99.9618,2617.0,2618.0,0.0766,2.0,2611.0,100.0,23.0,23.0,100.0,78.0,78.0,/0,0.0,0.0,100.0,422.0,422.0,100,12.0,12.0,100,12.0,12.0,100,12.0,12.0,100,2945.0,2945.0,20.0242,10144135.0,506595.0,/0,0.0,506595.0,/0,2.0,507396.0,100.0,0.0,0.0,100.0,0.0,0.0,8.4924,14.2683,10.8497,0.8253,17.1004,2.5744,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,518.3335,55.8298,574.1633,18.0,0.0,0.0,12.0,0.0,12.0,16.2447,32.0,4.8414,5.2656,0.0,10.0,0.0822,5.4149,2.1231,25.0,3.5671,25.0,10800.0,10800.0,9959.2437,4348096240.0,436589.0,886.4178,468334392.0,528345.0,0.0,0.0,2066.0,482959.0,523.0,636553.0,100.0,0.0,0.0
2017-04-03 10:00:00,102248_warujaya_mbts,100%,100,2368.0,2368.0,99.9178,2430.0,2432.0,0.0412,1.0,2430.0,100.0,7.0,7.0,100.0,110.0,110.0,/0,0.0,0.0,100.0,326.0,326.0,100,11.0,11.0,100,11.0,11.0,100,11.0,11.0,99.7459,2748.0,2755.0,26.0021,25371802.0,975758.0,/0,0.0,975758.0,/0,3.0,978458.0,100.0,0.0,0.0,100.0,0.0,0.0,13.2749,14.9812,8.7643,0.9712,17.0909,3.9256,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,1062.9846,71.9124,1134.897,20.0,0.0,0.0,11.0,0.0,11.0,18.9094,38.0,6.4267,7.1631,0.0,12.0,0.1512,6.3032,3.3187,25.0,3.7453,25.0,10800.0,10800.0,9422.9249,8916960960.0,946305.0,936.6194,603244728.0,644066.0,0.0,0.0,421.0,826368.0,1829.0,1209747.0,100.0,0.0,0.0
2017-04-03 11:00:00,102248_warujaya_mbts,100%,100,2154.0,2154.0,99.9113,2254.0,2256.0,0.1329,3.0,2258.0,100.0,28.0,28.0,100.0,105.0,105.0,/0,0.0,0.0,100.0,332.0,332.0,100,9.0,9.0,100,9.0,9.0,100,9.0,9.0,99.8847,2598.0,2601.0,46.6352,41704639.0,894273.0,/0,0.0,894273.0,/0,2.0,896425.0,100.0,0.0,0.0,100.0,0.0,0.0,14.5285,14.7739,6.8299,1.0092,16.2705,1.6427,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,988.959,61.4923,1050.4513,20.0,0.0,0.0,9.0,0.0,9.0,18.5072,37.0,6.1747,6.8158,0.0,12.0,0.1416,6.1691,3.6321,25.0,3.6935,25.0,10800.0,10800.0,8059.5148,8295989016.0,1029341.0,971.5135,515834824.0,530960.0,0.0,0.0,105.0,783595.0,1826.0,1289275.0,100.0,0.0,0.0
2017-04-03 12:00:00,102248_warujaya_mbts,100%,100,3092.0,3092.0,99.9082,3265.0,3268.0,0.0305,1.0,3282.0,100.0,120.0,120.0,100.0,180.0,180.0,/0,0.0,0.0,100.0,480.0,480.0,100,21.0,21.0,100,21.0,21.0,100,21.0,21.0,99.9466,3744.0,3746.0,36.2534,46127840.0,1272373.0,/0,0.0,1272373.0,/0,0.0,1274635.0,100.0,0.0,0.0,100.0,0.0,0.0,15.7092,16.7569,7.9209,1.2066,17.0576,7.0675,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,1310.0491,119.6639,1429.713,21.0,0.0,0.0,21.0,0.0,21.0,23.2158,43.0,7.5772,8.2581,0.0,15.0,0.1172,7.7386,3.9273,25.0,4.1892,25.0,10800.0,10800.0,9100.8746,10989488048.0,1207520.0,1209.3572,1003813640.0,830039.0,0.0,0.0,31.0,1226096.0,1837.0,1567349.0,100.0,0.0,0.0
2017-04-03 13:00:00,102248_warujaya_mbts,100%,100,2882.0,2882.0,99.8664,2990.0,2994.0,0.0674,2.0,2969.0,100.0,72.0,72.0,98.4496,127.0,129.0,/0,0.0,0.0,100.0,401.0,401.0,100,21.0,21.0,100,21.0,21.0,100,21.0,21.0,99.8244,3410.0,3416.0,15.1231,13806019.0,912908.0,/0,0.0,912908.0,/0,0.0,913946.0,100.0,0.0,0.0,100.0,0.0,0.0,11.2402,16.644,10.5726,2.3927,16.5912,4.2578,-118.6667,-118.6667,-118.6667,0.0,10800.0,100.0,879.4246,175.5645,1054.9891,20.0,0.0,0.0,21.0,0.0,21.0,22.0383,43.0,7.7439,8.2594,0.0,14.0,0.0703,7.3461,2.8101,25.0,4.161,25.0,10800.0,10800.0,9577.3284,7377147872.0,770272.0,2133.7159,1472741896.0,690224.0,0.0,0.0,339.0,880323.0,768.0,1092199.0,100.0,0.0,0.0
2017-04-03 14:00:00,102248_warujaya_mbts,100%,99.9353,3089.0,3091.0,99.9064,3203.0,3206.0,0.0313,1.0,3199.0,100.0,254.0,254.0,99.3056,143.0,144.0,/0,0.0,0.0,100.0,386.0,386.0,100,15.0,15.0,100,15.0,15.0,100,15.0,15.0,99.9444,3597.0,3599.0,9.6268,8982876.0,933110.0,/0,0.0,933110.0,/0,0.0,934503.0,100.0,0.0,0.0,100.0,0.0,0.0,11.4691,15.8221,11.028,1.3233,16.8436,6.8603,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,933.4368,85.5219,1018.9587,22.0,0.0,0.0,15.0,0.0,15.0,26.7939,45.0,9.2203,9.8397,0.0,15.0,0.0743,8.9313,2.8673,25.0,3.9555,25.0,10800.0,10800.0,9670.8735,7830235472.0,809672.0,1155.5503,717409544.0,620838.0,0.0,0.0,225.0,870663.0,856.0,1152129.0,100.0,0.0,0.0
2017-04-03 15:00:00,102248_warujaya_mbts,100%,99.9674,3071.0,3072.0,99.9374,3191.0,3193.0,0.1261,4.0,3172.0,100.0,1352.0,1352.0,99.0566,105.0,106.0,/0,0.0,0.0,100.0,453.0,453.0,100,15.0,15.0,100,15.0,15.0,100,15.0,15.0,99.9165,3591.0,3594.0,25.9213,54477882.0,2101664.0,/0,0.0,2101664.0,/0,0.0,2105874.0,100.0,0.0,0.0,100.0,0.0,0.0,19.3786,17.8915,8.6222,1.0446,16.5025,3.1537,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,2043.0618,140.6239,2183.6856,23.0,0.0,0.0,15.0,0.0,15.0,28.1086,49.0,10.3155,11.2969,0.0,16.0,0.0898,9.3695,4.8446,25.0,4.4729,25.0,10800.0,10800.0,9602.2031,17138444144.0,1784845.0,991.2778,1179638472.0,1190018.0,0.0,0.0,618.0,1813955.0,2099.0,2336545.0,100.0,0.0,0.0
2017-04-03 16:00:00,102248_warujaya_mbts,100%,100,3015.0,3015.0,100.0,3189.0,3189.0,0.0628,2.0,3187.0,100.0,133.0,133.0,99.0909,109.0,110.0,/0,0.0,0.0,100.0,427.0,427.0,100,14.0,14.0,100,14.0,14.0,100,14.0,14.0,100,3548.0,3548.0,28.45,38609992.0,1357119.0,/0,0.0,1357119.0,/0,2.0,1359180.0,100.0,0.0,0.0,100.0,0.0,0.0,16.7202,17.3072,8.318,1.1572,16.758,8.9457,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,1367.7434,112.0097,1479.7532,24.0,0.0,0.0,14.0,0.0,14.0,28.2128,51.0,10.5261,11.2033,0.0,15.0,0.0778,9.4043,4.1801,25.0,4.3268,25.0,10800.0,10800.0,8538.4867,11473463432.0,1343735.0,1099.3013,939605800.0,854730.0,0.0,0.0,288.0,1221272.0,1367.0,1758100.0,100.0,0.0,0.0
2017-04-03 17:00:00,102248_warujaya_mbts,100%,100,3086.0,3086.0,99.8755,3209.0,3213.0,0.0313,1.0,3190.0,100.0,92.0,92.0,100.0,173.0,173.0,/0,0.0,0.0,100.0,409.0,409.0,100,17.0,17.0,100,17.0,17.0,100,17.0,17.0,99.7485,3570.0,3579.0,26.702,83382164.0,3122696.0,/0,0.0,3122696.0,/0,0.0,3129794.0,100.0,0.0,0.0,100.0,0.0,0.0,28.4343,20.5337,6.7475,1.0869,15.6817,3.9335,-118.0,-118,-118,0.0,10800.0,100.0,2930.6876,219.8289,3150.5165,25.0,0.0,0.0,17.0,0.0,17.0,31.8842,50.0,12.4933,13.4003,0.0,19.0,0.1368,10.6281,7.1086,25.0,5.1334,25.0,10800.0,10800.0,9135.996,24584389704.0,2690937.0,1113.3607,1844058248.0,1656299.0,0.0,0.0,527.0,2885908.0,4777.0,3490914.0,100.0,0.0,0.0
2017-04-03 18:00:00,102248_warujaya_mbts,100%,99.9672,3047.0,3048.0,99.9383,3240.0,3242.0,0.0615,2.0,3253.0,100.0,210.0,210.0,100.0,110.0,110.0,/0,0.0,0.0,100.0,503.0,503.0,100,49.0,49.0,100,49.0,49.0,100,49.0,49.0,99.8606,3581.0,3586.0,17.3813,28660424.0,1648924.0,/0,0.0,1648924.0,/0,1.0,1652551.0,100.0,0.0,0.0,100.0,0.0,0.0,17.8774,19.2449,7.3772,0.9118,16.1269,2.596,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,1391.0438,137.752,1528.7958,26.0,0.0,0.0,49.0,0.0,49.0,32.1545,55.0,12.6138,13.554,0.0,18.0,0.1325,10.7182,4.4693,25.0,4.8112,25.0,10800.0,10800.0,7680.2817,11668920752.0,1519335.0,925.8705,1155547512.0,1248066.0,0.0,0.0,302.0,1565717.0,2710.0,2045947.0,100.0,0.0,0.0
2017-04-03 19:00:00,102248_warujaya_mbts,100%,100,3391.0,3391.0,99.9717,3538.0,3539.0,0.0847,3.0,3543.0,100.0,90.0,90.0,100.0,87.0,87.0,/0,0.0,0.0,100.0,436.0,436.0,100,26.0,26.0,100,26.0,26.0,100,26.0,26.0,99.9479,3839.0,3841.0,41.7921,68442928.0,1637701.0,/0,0.0,1637701.0,/0,2.0,1641227.0,100.0,0.0,0.0,100.0,0.0,0.0,19.7914,20.0732,7.1204,0.787,17.0055,3.3619,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,1710.362,156.8799,1867.2418,26.0,0.0,0.0,26.0,0.0,26.0,33.125,54.0,12.7031,13.4524,0.0,17.0,0.1765,11.0417,4.9479,25.0,5.0183,25.0,10800.0,10800.0,8856.5872,14347556160.0,1619987.0,901.7065,1316003704.0,1459459.0,0.0,0.0,1425.0,1584948.0,3835.0,2172531.0,100.0,0.0,0.0
2017-04-03 20:00:00,102248_warujaya_mbts,100%,100,3158.0,3158.0,100.0,3302.0,3302.0,0.0302,1.0,3312.0,100.0,76.0,76.0,100.0,153.0,153.0,/0,0.0,0.0,100.0,302.0,302.0,100,19.0,19.0,100,19.0,19.0,100,19.0,19.0,99.9155,3548.0,3551.0,25.8599,54543433.0,2109193.0,/0,0.0,2109193.0,/0,1.0,2112867.0,100.0,0.0,0.0,100.0,0.0,0.0,22.0226,21.1806,8.0251,0.8708,17.1517,5.0953,-118.0,-118,-118,0.0,10800.0,100.0,2071.4601,180.6971,2252.1571,28.0,0.0,0.0,19.0,0.0,19.0,35.8113,56.0,14.7442,15.3306,0.0,18.0,0.0977,11.9371,5.5057,25.0,5.2952,25.0,10800.0,10800.0,8925.8592,17376666384.0,1946778.0,940.839,1515797024.0,1611112.0,0.0,0.0,556.0,2018411.0,2558.0,2618870.0,100.0,0.0,0.0
2017-04-03 21:00:00,102248_warujaya_mbts,100%,99.9054,3167.0,3170.0,99.9391,3284.0,3286.0,0.0305,1.0,3281.0,100.0,31.0,31.0,100.0,108.0,108.0,/0,0.0,0.0,100.0,275.0,275.0,100,13.0,13.0,100,13.0,13.0,100,13.0,13.0,99.9717,3532.0,3533.0,23.9431,45956343.0,1919397.0,/0,0.0,1919397.0,/0,0.0,1922855.0,100.0,0.0,0.0,100.0,0.0,0.0,20.3967,19.5274,7.2448,0.8921,16.5544,1.9213,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,1869.6373,150.6106,2020.2479,26.0,0.0,0.0,13.0,0.0,13.0,32.5035,55.0,12.7872,13.4639,0.0,17.0,0.0982,10.8345,5.0992,25.0,4.8819,25.0,10800.0,10800.0,8714.807,15683654752.0,1799656.0,952.9871,1263413160.0,1325740.0,0.0,0.0,182.0,1841339.0,2379.0,2421457.0,100.0,0.0,0.0
2017-04-03 22:00:00,102248_warujaya_mbts,100%,100,3087.0,3087.0,100.0,3192.0,3192.0,0.1563,5.0,3198.0,100.0,23.0,23.0,100.0,72.0,72.0,/0,0.0,0.0,100.0,300.0,300.0,100,10.0,10.0,100,10.0,10.0,100,10.0,10.0,99.8839,3442.0,3446.0,50.5157,147528559.0,2920449.0,/0,0.0,2920449.0,/0,1.0,2927860.0,100.0,0.0,0.0,100.0,0.0,0.0,29.7153,21.6139,4.8801,0.5418,16.5282,2.0572,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,2772.8753,179.2703,2952.1456,28.0,0.0,0.0,10.0,0.0,10.0,31.29,51.0,12.8475,13.4242,0.0,19.0,0.1288,10.43,7.4288,25.0,5.4035,25.0,10800.0,10800.0,8306.1132,23260563896.0,2800415.0,654.9585,1503827960.0,2296066.0,0.0,0.0,2259.0,2574201.0,4897.0,3803026.0,100.0,0.0,0.0
2017-04-03 23:00:00,102248_warujaya_mbts,100%,100,3066.0,3066.0,99.9367,3156.0,3158.0,0.1268,4.0,3154.0,100.0,14.0,14.0,100.0,37.0,37.0,/0,0.0,0.0,100.0,315.0,315.0,100,3.0,3.0,100,3.0,3.0,100,3.0,3.0,99.9414,3413.0,3415.0,73.8397,254137692.0,3441750.0,/0,0.0,3441750.0,/0,4.0,3448215.0,100.0,0.0,0.0,100.0,0.0,0.0,39.2598,23.7942,5.4594,0.6408,16.3176,5.9336,-118.0,-118,-118,0.0,10800.0,100.0,3859.7429,220.6149,4080.3579,24.0,0.0,0.0,3.0,0.0,3.0,31.7731,49.0,14.1164,14.8183,0.0,20.0,0.0714,10.591,9.8149,25.0,5.9486,25.0,10800.0,10800.0,8528.8393,32377870576.0,3796281.0,739.0334,1850651960.0,2504152.0,0.0,0.0,1577.0,2964762.0,3511.0,4915848.0,100.0,0.0,0.0
2017-04-04 00:00:00,102248_warujaya_mbts,100%,100,3205.0,3205.0,99.9387,3260.0,3262.0,0.0614,2.0,3256.0,100.0,19.0,19.0,100.0,36.0,36.0,/0,0.0,0.0,100.0,370.0,370.0,100,6.0,6.0,100,6.0,6.0,100,6.0,6.0,99.9118,3400.0,3403.0,68.4843,151415054.0,2210944.0,/0,0.0,2210944.0,/0,2.0,2213296.0,100.0,0.0,0.0,100.0,0.0,0.0,24.7944,18.7876,6.9695,0.7485,16.9787,3.6727,-118.3333,-118.3333,-118.3333,0.0,10800.0,100.0,2561.1059,138.5685,2699.6745,23.0,0.0,0.0,6.0,0.0,6.0,25.5797,43.0,9.8347,10.5933,0.0,15.0,0.0546,8.5266,6.1986,25.0,4.6969,25.0,10800.0,10800.0,9566.3693,21484113816.0,2245796.0,822.5848,1162397032.0,1413103.0,0.0,0.0,193.0,1862313.0,1596.0,2921590.0,100.0,0.0,0.0
